"member_casual","ride_hour","num_rides"
casual,0,42966
member,0,35184
casual,1,27984
member,1,21453
casual,2,18167
member,2,12838
casual,3,10121
member,3,8356
casual,4,8168
member,4,9378
casual,5,12797
member,5,36944
casual,6,28209
member,6,108016
casual,7,51866
member,7,215113
casual,8,74487
member,8,278530
casual,9,72731
member,9,176349
casual,10,87690
member,10,150708
casual,11,112176
member,11,176024
casual,12,133420
member,12,200949
casual,13,138228
member,13,197687
casual,14,144882
member,14,200274
casual,15,161269
member,15,253896
casual,16,185616
member,16,360337
casual,17,200733
member,17,411014
casual,18,172430
member,18,319468
casual,19,129459
member,19,221416
casual,20,93741
member,20,154397
casual,21,80020
member,21,120090
casual,22,68907
member,22,87358
casual,23,49512
member,23,54464
